time, x1, y1, z1, x2, y2, z2, x3, y3, z3, x4, y4, z4
0.66710, 0.00781, -0.11719, 0.89062, 0.04688, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66764, 0.01562, -0.12500, 0.85156, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66818, 0.02344, -0.11719, 0.90625, 0.04688, -0.07812, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66872, 0.03906, -0.11719, 0.89844, 0.04688, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66924, 0.04688, -0.12500, 0.89844, 0.03125, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66977, 0.02344, -0.11719, 0.89844, 0.04688, -0.08594, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67030, 0.03125, -0.12500, 0.88281, 0.04688, -0.09375, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67083, 0.04688, -0.12500, 0.89844, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67136, 0.03906, -0.12500, 0.90625, 0.04688, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67189, 0.02344, -0.10156, 0.92188, 0.04688, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67244, 0.03906, -0.12500, 0.89844, 0.05469, -0.09375, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67297, 0.03125, -0.12500, 0.90625, 0.05469, -0.09375, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67353, 0.03125, -0.12500, 0.89844, 0.05469, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67406, 0.04688, -0.12500, 0.89844, 0.06250, -0.10156, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67461, 0.03906, -0.11719, 0.89062, 0.05469, -0.09375, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67514, 0.04688, -0.11719, 0.91406, 0.03906, -0.08594, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67568, 0.02344, -0.10938, 0.87500, 0.04688, -0.09375, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67621, 0.03906, -0.12500, 0.89844, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67675, 0.03906, -0.12500, 0.89062, 0.03906, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67737, 0.04688, -0.11719, 0.89062, 0.04688, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67792, 0.04688, -0.14062, 0.90625, 0.06250, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67846, 0.02344, -0.12500, 0.89844, 0.04688, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67901, 0.05469, -0.13281, 0.92969, 0.04688, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.67954, 0.03125, -0.12500, 0.89844, 0.04688, -0.07812, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68007, 0.04688, -0.11719, 0.89844, 0.04688, -0.07812, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68060, 0.04688, -0.13281, 0.91406, 0.03125, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68113, 0.02344, -0.12500, 0.91406, 0.03906, -0.07031, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68167, 0.04688, -0.12500, 0.90625, 0.02344, -0.07812, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68221, 0.02344, -0.11719, 0.89844, 0.05469, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68274, 0.05469, -0.12500, 0.92188, 0.04688, -0.09375, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68329, 0.04688, -0.12500, 0.89062, 0.02344, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68382, 0.04688, -0.12500, 0.89062, 0.04688, -0.07031, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68436, 0.04688, -0.12500, 0.89844, 0.04688, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68489, 0.03906, -0.12500, 0.88281, 0.03125, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68544, 0.03125, -0.13281, 0.89062, 0.03906, -0.07031, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68598, 0.04688, -0.13281, 0.90625, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.68654, 0.04688, -0.13281, 0.89844, 0.04688, -0.07031, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
